אופקים,אופקים,ת.ד 265
נאות אבי,אור יהודה,ת.ד. 68
דורון,אושה,קיבוץ אושה
רחל ליצק,אזור,משה שרת 35
אשדוד,אשדוד,הרב ניסים 7
הלפרין,אשקלון,אבשלום חביב 6
נאות אבי,אשקלון,קרן היסוד 15
איתנים,באר שבע,העלייה 3
באר שבע,באר שבע,דוד המלך 20
בית יונה,באר שבע,יעקב דורי 2
בית שוודיה,באר שבע,שפרינצק 11
נווה שבא,באר שבע,שלמה המלך 15
גני יעלים,באר שבע,עליה 1
ג.ג. בית חם,באר שבע,שרה 5
רחל ליצק,בית דגן,שבזי 5
ביחד 2,בני ברק,ז'בוטינסקי 94
ביחד עטרת אבות,בני ברק,עזרא 11
בית שלום-ויז'ניץ,בני ברק,דמשק אליעזר
גני מרגוע,בני ברק,הרב קוק 31
ערוגות הבושם,בני ברק,מתתיהו 8
משכנות פז,בת ים,העצמאות 67
חוף הסלע,בת ים,בן גוריון 61
נווה באבוב,בת ים,האדמור מבאבוב 2
משען גבעתיים,גבעתיים,מצולות הים 7/11
שלווה,גבעתיים,מצולות ים 1
נווה אורנים,גדרה,חזית הדרום 3
אשל,דבוריה,ת.ד 988
לב דברת,דברת,קיבוץ דברת
בית שירלי,דימונה,באבא סאלי 2
משהד,הרצלייה,הנשיא יצחק
עולי הולנד,הרצלייה,דוד רזיאל 22
הרצלייה,הרצלייה,הרב קוק 91
עד מאה ועשרים,חדרה,ברנדייס 2
משען,חולון,ביאליק 35
רבקה,חולון,החשמונאים 76
אביגדור עשת,חיפה,ת.ד 48 קריית חיים
ורד הכרמל,חיפה,פינסקי 26
אחי אילת,חיפה,ת.ד. 48 קריית חיים
אבן העזר,חיפה,מאיר 41
בית יולס,חיפה,ככר הרקפות 1
בן יהודה,חיפה,דרך הים 179
בני ברית,חיפה,ת.ד 7075
וינזדור,חיפה,בן גוריון 14
לב חיפה,חיפה,החשמל 2
חמדת אבות,חיפה,הרצלייה 35
הספרדי,חיפה,גדליהו 1
בית פנינה,חיפה,התקומה 6
משען כרמל,חיפה,אידר 12
סיני,חיפה,סיני 10
בית דניאל,חיפה,גוטליב שומאכר 3
מעון הרופא,חיפה,דורי 9
פסגת אחוזה,חיפה,שד' ביני 6
נוף כינרת,טבריה,החשמונאים 3
נוף טבריה,טבריה,השומר 28
נאות יהוד,יהוד,העצמאות 26
עולי אירופה,ירושלים,דרך בית לחם 52
בית אליסיה,ירושלים,המצור 1
עידן הזהב,ירושלים,אליעזר הגדול 28
נופי קטמון,ירושלים,תל חי 12
קוממיות לארצנו,ירושלים,בן צבי 7
ירושלים של זהב,ירושלים,קורא הדורות 26
פנינת שלושת האבות,ירושלים,ת.ד. 52160
משען גונן,ירושלים,בן דמלא 7
נווה הורים המאוחד,ירושלים,מעלה זאב 3
נווה שמחה,ירושלים,הרב סורוצקין 1
שומרי החומות,ירושלים,חידושי הרי'מ 8
תפארת בנים מרגוע,ירושלים,החלוץ 29
בית באייר,ירושלים,ים סוף 33
רחביה,ירושלים,אברבאנל 24
גני רות,ירושלים,קלוזנר 2
הבוכרים בשיבה טובה,ירושלים,אהרן פישל 1
הספרדי רוכלין,ירושלים,דהומיי 16
בית אמאן,כפר יפיע,ת.ד. 841
המבריא,כפר סבא,רופין 13
בראט,כרמיאל,שדרות נשיאי ישראל 120
בית נועם,מושב רגבה,ד.נ. אושרת 25223
שבת אחים,מושבה מגדל,מושבה מגדל
ירדן,נהריה,המייסדים 48
עדן,נהריה,ז'בוטינסקי 17
פאלאס,נהריה,המעפילים 26
מעוז הזהב-הבית החם,נהריה,ז'בוטיסקי 39
זכות אבות,נהריה,רמז 2
בית קורנפלד,נהריה,העלייה 17
רונית,נהריה,ויצמן 74
בית חוסן,נהריה,ויצמן 3
גרטרוד לוקנר,נהריה,סולד 24
הבונים החופשיים,נהריה,ז'בוטינסיקי 25
סנט פרנסיס,נצרת,פאולוס השישי
נוף העמק,נצרת עילית,יזרעאל 25
תפארת בנים יערי,נתניה,סמטת רמז 5
מרכז גריאטרי נתניה,נתניה,שיכון דורה
בית עמי,נתניה,שלמה המלך 41
גרינשטיין,נתניה,דיזנגוף 47
עין הים,נתניה,גד מכנס 14
קריית צאנז,נתניה,רבי עקיבא
תפארת בנים וגנר,נתניה,ראשון לציון 21
בית גיל הזהב,נתניה,ויצמן
בית אחווה,עוספיא,ת.ד 10
מרכז אזורי,עכו,אבות ובנים
בית ליליאן,עכו,האירוסים 9
משלב,עפולה,ז'בוטיסקי 1
מתן,ערד,ברקת 25
מרכז גריאטרי,פרדס חנה,מרכז גריאטרי
נוף המושבה,פתח תקווה,פינסקר 6
גבעת השלושה,פתח תקווה,ארלוזרוב 35
בית הדקל,פתח תקווה,נצי ישראל 15
רקאנטי,פתח תקווה,אינשטיין 23
מונטיפיורי,פתח תקווה,מונטיפיורי 34
נוה שלו בעמ,פתח תקווה,אלקלעי 5
סוכת שלום,צפת,ז'בוטינסקי 1
דורון,קיבוץ אושה,קיבוץ אושה
בית עיינות,קיבוץ רמת דוד,קיבוץ רמת דוד
בית חם בכפר,קריית ביאליק,כלניות
מעונות רמת טבעון,קריית טבעון,החורש 25
שלווה,קריית טבעון,שושנים 17
